timestamp,chat,from_city,to_city,volume_cbm,weight_ton,transport,cargo,price_usd,price_kzt,raw_text
2026-04-10 11:51:14,Грузы на ATI.SU | Казахстан,,,,20.0,тент,,,,Волжский — Сарань Груз: ТНП Кузов: тентованный 20 т Погрузка: 10–11 апреля Расстояние: 3084 км Ставка: цена не указана
2026-04-10 11:51:14,Чат Нур Жолы (Хоргос КНР),Хоргос,Москва,120,,,,8400,,Хоргос - Москва 120 куб 8400$ 🌳🌼🌼🌼🌳🌳🌳 Хоргос - Москва  105 куб 6000$ 🌼🌼🌎🌳🌳🌼🌲🌲 Хоргос - Минск - Москва 105 куб 6300$ +77088090100
2026-04-10 11:51:14,ГРУЗЫ ИЗ БАХТЫ | АЛАШАНЬКОУ,Хоргос,Москва,120,,,,8400,,Хоргос - Москва 120 куб 8400$ 🌳🌼🌼🌼🌳🌳🌳 Хоргос - Москва  105 куб 6000$ 🌼🌼🌎🌳🌳🌼🌲🌲 Хоргос - Минск - Москва 105 куб 6300$ +77088090100
2026-04-10 11:51:14,💥CARGO DOSTYK💥,Без Дозвол,Есть Сопровождение,130,,,,8300,,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥  КАЛЖАТ🇨🇳     МОСКВА  120.    8300$  130куб 8800$  105 куб.  6100$  Без дозвол есть сопровождение с фирмы ✅🚔🚔🚔 -500$   СКОРОСТЬ    🚀🚀 500$ 🔥🔥  🚚🚛🚚🚛🚚🚛🚚🚛🚚🚛🚚  🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘  📦ПОГРУЗКА 24/7  Левый ряд 🚀🚀🚀🚀  📞87077446003 📞 +7 776 736 3692
2026-04-10 11:52:35,Грузы на ATI.SU | Казахстан,Йошкар,Ола,,19.0,реф,,,1400000,"Йошкар-Ола — Астана Груз: входные двери Кузов: изотермический, рефрижератор 19 т Погрузка: 10 апреля Расстояние: 2137 км Ставка: 1400000 тенге"
2026-04-10 11:54:04,Грузы на ATI.SU | Казахстан,,,,3.0,,,,,Алтай — Хемер Груз: Автошины Кузов: фургон 4903 т / 3091 м³ Погрузка: 10 апреля Расстояние: 6320 км Ставка: 1000 руб
2026-04-10 11:54:05,Грузы на ATI.SU | Казахстан,,,,49.0,,,,,Аксай — Турнов Груз: Автошины Кузов: фургон 9749 т / 9138 м³ Погрузка: 10 апреля Расстояние: 3452 км Ставка: 1000 руб
2026-04-10 11:54:10,Грузы на ATI.SU | Казахстан,,,,10.0,тент,,,,Урюпинск — Костанай Груз: Оборудование и запчасти Кузов: тентованный 10 т / 82 м³ Погрузка: 13–15 апреля Расстояние: 1950 км Ставка: цена не указана
2026-04-10 11:54:16,Грузы на ATI.SU | Казахстан,,,,48.0,,,,,Турнов — Алтай Груз: Автошины Кузов: фургон 1348 т / 9274 м³ Погрузка: 10 апреля Расстояние: 5839 км Ставка: 1000 руб
2026-04-10 11:56:17,Грузы на ATI.SU | Казахстан,,,,20.0,реф,,,,3307 км — Казахстан Груз: Кондитерские изделия Кузов: рефрижератор 20 т / 82 м³ Погрузка: 12 апреля Расстояние: 743 км Ставка: цена не указана
2026-04-10 11:56:34,Грузы на ATI.SU | Казахстан,,,,20.0,"тент, площадка",,,,"Архангельск — Баутино Груз: Трубы Кузов: тентованный, площадка без бортов, шаланда, низкорамный, трал, низкорам.платф., телескопический, балковоз(негабарит) 20 т Погрузка: 20–25 апреля Расстояние: 3499 км Ставка: цена не указана"
2026-04-10 11:56:41,Грузы на ATI.SU | Казахстан,,,,20.0,тент,,,,Рубцовск — Кокшетау Груз: оборудование Кузов: тентованный 20 т / 86 м³ Погрузка: 15 апреля Расстояние: 1121 км Ставка: цена не указана
2026-04-10 11:56:55,Грузы на ATI.SU | Казахстан,,,,12.0,тент,"тренажер
Кузов: тентованный
0",,,"Томск — Шымкент Груз: тренажер Кузов: тентованный 0.212 т / 2.5 м³ Погрузка: 10–14 апреля Расстояние: 2683 км Ставка: 50 тыс.руб, возможен торг"
2026-04-10 11:57:09,Грузы на ATI.SU | Казахстан,,,,12.0,тент,"тренажер
Кузов: тентованный
0",,,"Томск — Алматы Груз: тренажер Кузов: тентованный 0.212 т / 2.5 м³ Погрузка: 10–14 апреля Расстояние: 2066 км Ставка: 40 тыс.руб, возможен торг"
2026-04-10 11:57:33,Грузы на ATI.SU | Казахстан,,,,20.0,тент,,,,Томск — Кызылорда Груз: строительные материалы Кузов: тентованный 20 т / 86 м³ Погрузка: 10 апреля Расстояние: 2233 км Ставка: цена не указана
2026-04-10 11:58:30,Чат Нур Жолы (Хоргос КНР),Хоргос,"Астана 
Тент",,,тент,,,,Хоргос - Астана  Тент стандарт  Посуда пластиковая  2 машины  +77470564775
2026-04-10 11:59:13,WhatsApp,Питер,Бишкек,,,,,,,"[11:33, 10.04.2026] +996 555 980 166: Питер-Бишкек"
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Готов/5 машин 
2026-04-10 11:59:13,WhatsApp,,,105,,,,,,92-105м3 боковая 
2026-04-10 11:59:13,WhatsApp,,,,22.0,,,,,Столешницы 22 тонн 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,Эсф патент
2026-04-10 11:59:13,WhatsApp,Питер,Ош,,,,,,,Питер-Ош
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Готов
2026-04-10 11:59:13,WhatsApp,,,130,,,,,,92-130м3 боковая 
2026-04-10 11:59:13,WhatsApp,,,,22.0,,,,,Столешницы 22 тонн 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,Эсф патент
2026-04-10 11:59:13,WhatsApp,Новосибирск,Бишкек,,,,,,,Новосибирск-Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Готов/догруз 
2026-04-10 11:59:13,WhatsApp,,,105,,,,,,92-105м3 верхняя 
2026-04-10 11:59:13,WhatsApp,,,,2.0,,,,,Двутавр 2 тонны
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,Эсф патент
2026-04-10 11:59:13,WhatsApp,Минск,Бишкек,,,,,,,Минск -Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Готов/догруз 
2026-04-10 11:59:13,WhatsApp,,,,,реф,,,,Реф/режим -18
2026-04-10 11:59:13,WhatsApp,,,,2.0,,,,,Заморозка  2 тонн/3 паллет
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,Эсф патент
2026-04-10 11:59:13,WhatsApp,Челябинск,Бишкек,,,,,,,Челябинск-Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Готов/догруз 
2026-04-10 11:59:13,WhatsApp,,,105,,,,,,92-105м3 верхняя 
2026-04-10 11:59:13,WhatsApp,,,,6.0,,,,,Трубы 5-6 тонн 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,Эсф патент
2026-04-10 11:59:13,WhatsApp,Брянск,Жалал Абад,,,,,,,Брянск -Жалал Абад
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Готов
2026-04-10 11:59:13,WhatsApp,,,130,,,,,,92-130м3 зад
2026-04-10 11:59:13,WhatsApp,Картонные,Материалы,,,,,,,Картонные материалы 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,Эсф патент
2026-04-10 11:59:13,WhatsApp,Волгоград,Туркестан,,,,,,,"[11:34, 10.04.2026] +7 776 074 6710: Волгоград Туркестан"
2026-04-10 11:59:13,WhatsApp,,,,,реф,,,,Реф🥕🥕🥕нужен 
2026-04-10 11:59:13,WhatsApp,Морковь На,Выгруз,,,,,,,Морковь на выгруз
2026-04-10 11:59:13,WhatsApp,Ставка За,Кг,,,,,,,Ставка за кг 5️⃣3️⃣тг 
2026-04-10 11:59:13,WhatsApp,Нал После,Выгрузки,,,,ки,,,Нал после выгрузки 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨✨✨✨✨✨
2026-04-10 11:59:13,WhatsApp,Волгоград,Туркестан,,,,,,,Волгоград Туркестан
2026-04-10 11:59:13,WhatsApp,,,,,реф,,,,Реф🥕🥕🥕нужен 
2026-04-10 11:59:13,WhatsApp,Морковь На,Рынок,,,,,,,Морковь на рынок 
2026-04-10 11:59:13,WhatsApp,Ставка За,Кг,,,,,,,Ставка за кг 5️⃣5️⃣тг 
2026-04-10 11:59:13,WhatsApp,Нал После,Выгрузки,,,,ки,,,Нал после выгрузки 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨✨✨✨✨✨
2026-04-10 11:59:13,WhatsApp,Волгоград,Шымкент,,,,,,,Волгоград Шымкент
2026-04-10 11:59:13,WhatsApp,,,,,реф,,,,Реф🥕🥕🥕нужен 
2026-04-10 11:59:13,WhatsApp,Морковь На,Рынок,,,,,,,Морковь на рынок 
2026-04-10 11:59:13,WhatsApp,Ставка За,Кг,,,,,,,Ставка за кг 5️⃣6️⃣тг 
2026-04-10 11:59:13,WhatsApp,Нал После,Выгрузки,,,,ки,,,Нал после выгрузки 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨✨✨✨✨✨
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Срочно срочно
2026-04-10 11:59:13,WhatsApp,Волгоград,Алматы,,,,,,,Волгоград Алматы
2026-04-10 11:59:13,WhatsApp,,,,,реф,,,,Реф🥕🥕🥕нужен 
2026-04-10 11:59:13,WhatsApp,Морковь На,Рынок,,,,,,,Морковь на рынок 
2026-04-10 11:59:13,WhatsApp,Ставка За,Кг,,,,,,,Ставка за кг 7️⃣0️⃣тг 
2026-04-10 11:59:13,WhatsApp,Нал После,Выгрузки,,,,ки,,,Нал после выгрузки
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨✨✨✨✨✨
2026-04-10 11:59:13,WhatsApp,Питер,Кокшетау,,,,,,,Питер Кокшетау
2026-04-10 11:59:13,WhatsApp,Питер,Петропавловск,,,,,,,Питер Петропавловск
2026-04-10 11:59:13,WhatsApp,Через,Маштакова,,,,,,,Через Маштакова
2026-04-10 11:59:13,WhatsApp,,,,,реф,,,,30/ 88 Реф режим 
2026-04-10 11:59:13,WhatsApp,Фрукты На,Выгруз,,,,,,,Фрукты на выгруз
2026-04-10 11:59:13,WhatsApp,Со Склада,На Склад,,,,,,,Со склада на склад
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,,Ставка 2 300 000тг
2026-04-10 11:59:13,WhatsApp,Оплата На,Карту,,,,,,,Оплата на карту
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨✨✨✨✨✨
2026-04-10 11:59:13,WhatsApp,Питер,Актобе,,,,,,,Питер Актобе
2026-04-10 11:59:13,WhatsApp,Через,Маштакова,,,,,,,Через Маштакова
2026-04-10 11:59:13,WhatsApp,,,,,реф,,,,30/ 88 Реф режим 
2026-04-10 11:59:13,WhatsApp,Фрукты На,Выгруз,,,,,,,Фрукты на выгруз
2026-04-10 11:59:13,WhatsApp,Со Склада,На Склад,,,,,,,Со склада на склад
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,,Ставка 1700 000тг
2026-04-10 11:59:13,WhatsApp,Оплата На,Карту,,,,,,,Оплата на карту
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨✨✨✨✨✨
2026-04-10 11:59:13,WhatsApp,,,,,,,,,"[11:34, 10.04.2026] +7 776 074 6710: САМАР.ОБЛ. ШЫМКЕНТ "
2026-04-10 11:59:13,WhatsApp,Любая,Крытая,,,,,,,Любая Крытая 
2026-04-10 11:59:13,WhatsApp,,,,20.0,,,,,20тонн/Масло 
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,,Фрахт 870 000тг 
2026-04-10 11:59:13,WhatsApp,Границы,Жайсан,,,,,,,границы Жайсан
2026-04-10 11:59:13,WhatsApp,Оплата После,Выгрузки,,,,ки,,,Оплата после выгрузки
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨
2026-04-10 11:59:13,WhatsApp,,,,,,,,,УЛЬЯНОВСК.ОБЛ. ШЫМКЕНТ
2026-04-10 11:59:13,WhatsApp,Тент Жёсткими,Бортами,,,"тент, реф",,,,РЕФ/ТЕНТ ЖЁСТКИМИ БОРТАМИ 
2026-04-10 11:59:13,WhatsApp,,,,35.0,,,,,35ТОНН/МАСЛО 
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,,ФРАХТ 1 400 000ТГ
2026-04-10 11:59:13,WhatsApp,Оплата После,Выгрузки,,,,КИ,,,ОПЛАТА ПОСЛЕ ВЫГРУЗКИ 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,ПРЕДЛОЖИТЕ 2 АВТО
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨
2026-04-10 11:59:13,WhatsApp,На,Понедельник,,,,,,,На понедельник 
2026-04-10 11:59:13,WhatsApp,Москва,Шымкент,,,,,,,МОСКВА ШЫМКЕНТ 
2026-04-10 11:59:13,WhatsApp,,,130,22.0,,,,,22тонны/120-130куб 
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,,Фрахт 1 150 000тг
2026-04-10 11:59:13,WhatsApp,Оплата После,Выгрузки,,,,ки,,,Оплата после выгрузки 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨
2026-04-10 11:59:13,WhatsApp,Бугульма,Шымкент,,,,,,,БУГУЛЬМА ШЫМКЕНТ
2026-04-10 11:59:13,WhatsApp,,,,,"тент, реф",,,,Реф/Тент жёсткими 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,бортами
2026-04-10 11:59:13,WhatsApp,,,,35.5,,,,,"35,5 тонн/Масло "
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,,Фрахт 1 450  000тг
2026-04-10 11:59:13,WhatsApp,Оплата После,Выгрузки,,,,ки,,,Оплата после выгрузки
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨
2026-04-10 11:59:13,WhatsApp,Казань,Караганда,,,,,,,КАЗАНЬ КАРАГАНДА
2026-04-10 11:59:13,WhatsApp,,,,,"тент, реф",,,,Реф/Тент жёсткими 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,бортами
2026-04-10 11:59:13,WhatsApp,,,,35.0,,,,,35 тонн/Масло 
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,,Фрахт 1 800 000тг
2026-04-10 11:59:13,WhatsApp,Оплата После,Выгрузки,,,,ки,,,Оплата после выгрузки
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨
2026-04-10 11:59:13,WhatsApp,Мордовия,Астана,,,,,,,МОРДОВИЯ АСТАНА 
2026-04-10 11:59:13,WhatsApp,Фрахт За,Кг,,50.0,,,,,Фрахт за кг 50 тг 
2026-04-10 11:59:13,WhatsApp,Мордовия,Караганда,,,,,,,МОРДОВИЯ КАРАГАНДА
2026-04-10 11:59:13,WhatsApp,Фрахт За,Кг,,52.0,,,,,Фрахт за кг 52тг
2026-04-10 11:59:13,WhatsApp,Мордовия,Шымкент,,,,,,,МОРДОВИЯ ШЫМКЕНТ
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,,Фрахт 1 550 000тг
2026-04-10 11:59:13,WhatsApp,Любая,Крытая,,,,,,,Любая Крытая 
2026-04-10 11:59:13,WhatsApp,,,,35.0,,,,,35тонн/Сахар 
2026-04-10 11:59:13,WhatsApp,Оплата После,Выгрузки,,,,ки,,,Оплата после выгрузки 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Саратов.обл.(Энгельс.р-н)
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Актюбин.обл.2 выгр.
2026-04-10 11:59:13,WhatsApp,Нужны,Тента,,,тент,,,,Нужны Тента 
2026-04-10 11:59:13,WhatsApp,Биг Бэг,Ме,,22.0,,,,,22тонн/биг бэг ме…
2026-04-10 11:59:13,WhatsApp,На,Завтра,,,,,,,"[11:34, 10.04.2026] +7 776 074 6710: НА ЗАВТРА "
2026-04-10 11:59:13,WhatsApp,Москва,Астана,,,,,,, МОСКВА - АСТАНА 
2026-04-10 11:59:13,WhatsApp,,,,20.0,,,,,20 ТОНН 
2026-04-10 11:59:13,WhatsApp,,,,,,,,, 92/105/120/130 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,ЗАПЧАСТИ 
2026-04-10 11:59:13,WhatsApp,,,,,,,,, СТАВКА 200 000₽ 
2026-04-10 11:59:13,WhatsApp,Раб,Дней,,,,,,,ОПЛАТА  5 РАБ ДНЕЙ 
2026-04-10 11:59:13,WhatsApp,,,,,,,,, ГРУЗ ГОТОВ
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨
2026-04-10 11:59:13,WhatsApp,На,Завтра,,,,,,,НА ЗАВТРА 
2026-04-10 11:59:13,WhatsApp,Москва,Костанай,,,,,,, МОСКВА - КОСТАНАЙ - АСТАНА 
2026-04-10 11:59:13,WhatsApp,,,,18.0,,,,,18 ТОНН 
2026-04-10 11:59:13,WhatsApp,,,130,,,,,, 120/130 КУБ 
2026-04-10 11:59:13,WhatsApp,Погрузка,Боковая,,,,КА БОКОВАЯ,,,ПОГРУЗКА БОКОВАЯ 
2026-04-10 11:59:13,WhatsApp,,,,,,,,, СТАВКА 200 000₽ 
2026-04-10 11:59:13,WhatsApp,Раб,Дней,,,,,,,ОПЛАТА  5 РАБ ДНЕЙ 
2026-04-10 11:59:13,WhatsApp,,,,,,,,, ГРУЗ ГОТОВ
2026-04-10 11:59:13,WhatsApp,,,,,,,,,✨
2026-04-10 11:59:13,WhatsApp,Москва,Талдыкорган,,,,,,,МОСКВА  ТАЛДЫКОРГАН 
2026-04-10 11:59:13,WhatsApp,,,,21.0,,,,,21 ТОННА 
2026-04-10 11:59:13,WhatsApp,,,,,тент,,,, ТЕНТ 
2026-04-10 11:59:13,WhatsApp,На,Паллетах,,,,,,,НА ПАЛЛЕТАХ 
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,, СТАВКА 1 300 000ТГ 
2026-04-10 11:59:13,WhatsApp,Оплата,После,,,,,,,ОПЛАТА ПОСЛЕ
2026-04-10 11:59:13,WhatsApp,,,,,,КИ,,, ВЫГРУЗКИ 
2026-04-10 11:59:13,WhatsApp,,,,,,,,, ГРУЗ ГОТОВ
2026-04-10 11:59:13,WhatsApp,,,,,,,,,"[11:34, 10.04.2026] +7 776 074 6710: САМАР.ОБЛ. ШЫМКЕНТ "
2026-04-10 11:59:13,WhatsApp,Любая,Крытая,,,,,,,Любая Крытая 
2026-04-10 11:59:13,WhatsApp,,,,20.0,,,,,20тонн/Масло 
2026-04-10 11:59:13,WhatsApp,,,,0.0,,,,,Фрахт 870 000тг 
2026-04-10 11:59:13,WhatsApp,Границы,Жайсан,,,,,,,границы Жайсан
2026-04-10 11:59:13,WhatsApp,Оплата После,Выгрузки,,,,ки,,,Оплата после выгрузки
2026-04-10 11:59:13,WhatsApp,Предложите,Авто,,,,,,, Предложите  авто
2026-04-10 11:59:13,WhatsApp,Москва,Бишкек,,,,,,,"[11:51, 10.04.2026] +996 998 151 633: Москва -Бишкек"
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Догруз 
2026-04-10 11:59:13,WhatsApp,,,,2.0,,,,,2 ТН 
2026-04-10 11:59:13,WhatsApp,Листы,Композит,,,,,,,Листы композит.понели 
2026-04-10 11:59:13,WhatsApp,Погрузка,Бок,,,,ка бок,,,Погрузка бок 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,ЭСФ патент
2026-04-10 11:59:13,WhatsApp,Санкт-Петербург,Бишкек,,,,,,,Санкт-Петербург-Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Готов 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,5 авто
2026-04-10 11:59:13,WhatsApp,,,,,,,,,92-130м³
2026-04-10 11:59:13,WhatsApp,,,,22.0,,,,,Столешница 22тн
2026-04-10 11:59:13,WhatsApp,Погрузка,Бок,,,,ка бок,,,Погрузка бок
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,ЭСФ патент
2026-04-10 11:59:13,WhatsApp,Калуга,Бишкек,,,,,,,Калуга -Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Готов 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,92-130м³
2026-04-10 11:59:13,WhatsApp,,,,22.0,,,,,ЛДСП 22 ТН
2026-04-10 11:59:13,WhatsApp,Авто Ремни,Обязательно,,,,,,,2 авто ремни обязательно 
2026-04-10 11:59:13,WhatsApp,Погрузка,Бок,,,,ка бок,,,Погрузка бок
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,ЭСФ патент
2026-04-10 11:59:13,WhatsApp,Тамбов,Бишкек,,,,,,,Тамбов -Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Готов 
2026-04-10 11:59:13,WhatsApp,,,,17.0,,,,,130 м³ 17 ТН
2026-04-10 11:59:13,WhatsApp,Погрузка,Зад,,,,ка зад,,,Погрузка зад 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,ЭСФ патент
2026-04-10 11:59:13,WhatsApp,Октябрьский,Бишкек,,,,,,,Октябрьский -Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Догруз
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Пластик в коробках 
2026-04-10 11:59:13,WhatsApp,Куб,До,70,3.0,,,,,70 куб до 3 ТН 
2026-04-10 11:59:13,WhatsApp,Погрузка,Зад,,,,ка зад,,,Погрузка зад 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,ЭСФ патент
2026-04-10 11:59:13,WhatsApp,Тула,Бишкек,,,,,,,Тула -Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Догруз 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Пластик в коробках 
2026-04-10 11:59:13,WhatsApp,,,,1.3,,,,,1.3 ТН 7 куб 
2026-04-10 11:59:13,WhatsApp,Погрузка,Зад,,,,ка зад,,,Погрузка зад 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,ЭСФ патент
2026-04-10 11:59:13,WhatsApp,Челябинск,Бишкек,,,,,,,Челябинск -Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Догруз 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Трубы 530мм
2026-04-10 11:59:13,WhatsApp,Тн,По,,6.2,,,,,6.2 ТН по 12 м 
2026-04-10 11:59:13,WhatsApp,Погрузка,Верх,,,,ка верх,,,Погрузка верх 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,ЭСФ патент
2026-04-10 11:59:13,WhatsApp,Екатеринбург,Бишкек,,,,,,,Екатеринбург-Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Догруз 
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Двутавр
2026-04-10 11:59:13,WhatsApp,,,,1.6,,,,,1.6 ТН 12 м 
2026-04-10 11:59:13,WhatsApp,Погрузка,Верх,,,,ка верх,,,Погрузка верх 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,ЭСФ патент
2026-04-10 11:59:13,WhatsApp,Москва,Бишкек,,,,,,,Москва -Бишкек
2026-04-10 11:59:13,WhatsApp,,,,,,,,,На 13.04.2026
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Трубы 12 м 
2026-04-10 11:59:13,WhatsApp,,,,21.0,,,,,21 ТН  2 авто
2026-04-10 11:59:13,WhatsApp,Погрузка,Верх,,,,ка верх,,,Погрузка верх 
2026-04-10 11:59:13,WhatsApp,Эсф,Патент,,,тент,,,,ЭСФ патент
2026-04-10 11:59:13,WhatsApp,Калжат,Москва,,,,,,,"[11:55, 10.04.2026] +7 778 733 9910: Калжат Москва "
2026-04-10 11:59:13,WhatsApp,Хоргос,Москва,,,,,,,Хоргос Москва 
2026-04-10 11:59:13,WhatsApp,,,,,тент,,7700,,Тент 120 7700$
2026-04-10 11:59:13,WhatsApp,,,,,тент,,8700,,Тент 130 8700$
2026-04-10 11:59:13,WhatsApp,,,,,,,,,10 авто
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Груз готов 
2026-04-10 11:59:13,WhatsApp,Без,Дозвола,,,,,,,Без дозвола
2026-04-10 11:59:13,WhatsApp,Сопровождение,Есть,,,,,,,Сопровождение есть❗️
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Растаможка Москва
2026-04-10 11:59:13,WhatsApp,Калжат,Москва,,,,,,,"[11:57, 10.04.2026] +7 778 733 9910: Калжат Москва "
2026-04-10 11:59:13,WhatsApp,Хоргос,Москва,,,,,,,Хоргос Москва 
2026-04-10 11:59:13,WhatsApp,,,,,тент,,7700,,Тент 120 7700$
2026-04-10 11:59:13,WhatsApp,,,,,тент,,8700,,Тент 130 8700$
2026-04-10 11:59:13,WhatsApp,,,,,,,,,10 авто
2026-04-10 11:59:13,WhatsApp,,,,,,,,,Груз готов 
2026-04-10 11:59:13,WhatsApp,Без,Дозвола,,,,,,,Без дозвола
2026-04-10 11:59:13,WhatsApp,Сопровождение,Есть,,,,,,,Сопровождение есть❗️
